t (s),V (mV)
0,17.7135
0.969,17.6774
1.94,17.7104
2.937,17.684
3.937,17.7173
4.937,17.7494
5.938,17.6921
6.937,17.7032
7.937,17.6434
8.937,17.5412
9.937,17.5759
10.937,17.5431
11.937,17.527
12.937,17.5002
13.937,17.437
14.937,17.4676
15.937,17.5437
16.937,17.4847
17.937,17.4502
18.937,17.4793
19.937,17.4037
20.937,17.372
21.937,17.4261
22.937,17.4084
23.937,17.3996
24.937,17.348
25.937,17.2865
26.937,17.2867
27.937,17.2327
28.937,17.2752
29.937,17.2336
30.937,17.1405
31.937,17.0701
32.937,17.0596
33.937,16.9621
34.937,17.0716
35.937,17.0607
36.937,16.9457
37.937,17.0284
38.937,16.9355
39.937,16.8948
40.937,16.9037
41.937,16.8878
42.937,16.851
43.937,16.839
44.937,16.8194
45.937,16.8535
46.937,16.8499
47.937,16.793
48.937,16.7647
49.937,16.6975
50.937,16.6709
51.937,16.7239
52.937,16.7003
53.937,16.6699
54.937,16.624
55.937,16.6544
56.937,16.6477
57.937,16.631
58.937,16.5534
59.937,16.5844
60.937,16.554
61.937,16.5292
62.937,16.5024
63.937,16.4782
64.937,16.4554
65.937,16.4622
66.937,16.4678
67.937,16.4717
68.937,16.4
69.937,16.4275
70.937,16.4123
71.937,16.4237
72.937,16.3729
73.937,16.2849
74.937,16.3085
75.937,16.3096
76.937,16.3024
77.937,16.2607
78.937,16.2656
79.937,16.2308
80.937,16.2923
81.937,16.2435
82.937,16.11
83.937,16.1284
84.937,16.2931
85.937,16.1816
86.937,16.1662
87.937,16.2347
88.937,16.1193
89.937,16.0631
90.937,16.1122
91.937,16.1094
92.937,16.1095
93.937,16.057
94.937,15.9556
95.937,15.9679
96.937,15.9166
97.937,15.9661
98.937,15.9247
99.937,15.8658
100.937,15.8604
101.937,15.89
102.937,15.9033
103.937,15.9169
104.937,15.8544
105.937,15.9644
106.937,15.8625
107.937,15.8867
108.937,15.8263
109.937,15.7638
110.937,15.8294
111.937,15.7836
112.937,15.8158
113.937,15.8076
114.937,15.7948
115.937,15.6722
116.937,15.6085
117.937,15.5585
118.937,15.5583
119.937,15.568
120.937,15.5622
121.937,15.5563
122.937,15.522
123.937,15.5415
124.937,15.5317
125.938,15.5197
126.937,15.4906
127.937,15.4659
128.937,15.4833
129.937,15.5524
130.937,15.5626
131.937,15.5254
132.937,15.4974
133.937,15.4857
134.937,15.5115
135.937,15.4651
136.937,15.4229
137.937,15.3755
138.937,15.394
139.937,15.3799
140.937,15.3432
141.937,15.3422
142.937,15.3221
143.937,15.2781
144.937,15.2682
145.937,15.2787
146.937,15.2829
147.937,15.3139
148.937,15.2082
149.937,15.1584
150.937,15.1389
151.937,15.1719
152.937,15.1693
153.937,15.1788
154.937,15.1686
155.937,15.1483
156.937,15.1094
157.937,15.1146
158.937,15.1439
159.937,15.1299
160.937,15.0587
161.937,15.0185
162.937,15.0523
163.937,14.9872
164.937,14.938
165.937,15.0075
166.937,14.9598
167.937,14.9508
168.937,14.9779
169.937,14.9441
170.937,14.9165
171.937,14.8937
172.937,14.8263
173.937,14.8218
174.937,14.8978
175.937,14.8506
176.937,14.8867
177.937,14.835
178.937,14.8307
179.937,14.8488
180.937,14.7488
181.937,14.719
182.937,14.7533
183.937,14.7509
184.937,14.7467
185.937,14.7011
186.937,14.7178
187.937,14.6973
188.937,14.6397
189.937,14.6157
190.937,14.6257
191.937,14.6167
192.937,14.6279
193.937,14.6111
194.937,14.6338
195.937,14.62
196.937,14.6148
197.937,14.6206
198.937,14.6273
199.937,14.5614
200.937,14.564
201.937,14.5628
202.937,14.5524
203.937,14.5602
204.937,14.5018
205.937,14.4735
206.937,14.447
207.937,14.4361
208.937,14.3799
209.937,14.3362
210.937,14.2931
211.937,14.2528
212.937,14.2994
213.937,14.2878
214.937,14.2432
215.937,14.262
216.937,14.2032
217.937,14.2048
218.937,14.1996
219.937,14.2161
220.937,14.249
221.937,14.2792
222.937,14.2494
223.937,14.2313
224.937,14.148
225.937,14.1265
226.937,14.1615
227.937,14.2387
228.937,14.2951
229.937,14.2388
230.937,14.1792
231.937,14.1483
232.937,14.1195
233.937,14.1027
234.937,14.0852
235.937,14.1052
236.937,14.0684
237.937,14.0177
238.937,14.0383
239.937,14.0612
240.937,14.0581
241.937,14.0648
242.937,14.0898
243.937,14.0607
244.937,14.0199
245.938,14.0138
246.937,13.9647
247.937,13.9168
248.937,13.9041
249.937,13.8377
250.937,13.8357
251.937,13.8806
252.937,13.8089
