t (s),V (mV)
0,17.2746
1.049,17.3213
2.05,17.3191
3.05,17.2604
4.051,17.2365
5.05,17.2753
6.05,17.2213
7.05,17.1681
8.051,17.1639
9.051,17.2003
10.05,17.1562
11.05,17.1533
12.05,17.154
13.05,17.2583
14.05,17.232
15.05,17.1777
16.05,17.0768
17.05,17.1209
18.05,17.0726
19.05,17.0794
20.05,17.0421
21.051,17.06
22.05,17.0718
23.05,17.089
24.05,17.0687
25.05,17.0198
26.05,16.9648
27.05,17.0004
28.05,17.0259
29.05,17.0587
30.05,17.0572
31.05,17.0167
32.05,17.0013
33.05,16.9639
34.05,16.9287
35.05,16.9637
36.05,16.9292
37.05,16.9612
38.05,16.9782
39.05,16.9715
40.05,16.9731
41.05,16.9364
42.05,16.9473
43.05,16.8793
44.05,16.9039
45.05,16.9064
46.05,16.892
47.05,16.8533
48.05,16.9209
49.05,16.8213
50.05,16.8775
51.05,16.8644
52.05,16.8873
53.05,16.8591
54.05,16.8155
55.05,16.7929
56.05,16.7764
57.05,16.7724
58.05,16.8277
59.05,16.8222
60.05,16.7785
61.05,16.7298
62.05,16.7627
63.05,16.752
64.05,16.7792
65.05,16.6968
66.05,16.6772
67.05,16.6168
68.05,16.6369
69.05,16.6762
70.05,16.6195
71.05,16.5683
72.05,16.5574
73.05,16.5714
74.05,16.6093
75.05,16.5723
76.05,16.5317
77.05,16.5361
78.05,16.5816
79.05,16.5827
80.05,16.5966
81.05,16.4941
82.05,16.5074
83.05,16.5841
84.05,16.5738
85.05,16.5328
86.05,16.4338
87.05,16.4701
88.05,16.4537
89.05,16.4339
90.05,16.4918
91.05,16.5395
92.05,16.4651
93.05,16.4309
94.05,16.4388
95.05,16.3499
96.053,16.3308
97.051,16.384
98.05,16.4005
99.05,16.3937
100.05,16.4326
101.05,16.3613
102.05,16.2961
103.05,16.3483
104.05,16.3684
105.05,16.3131
106.05,16.3367
107.05,16.3384
108.05,16.2811
109.05,16.2403
110.05,16.3143
111.05,16.3569
112.05,16.3044
113.05,16.2508
114.05,16.2687
115.05,16.2282
116.05,16.283
117.05,16.2435
118.05,16.2533
119.05,16.2832
120.05,16.2708
121.05,16.2683
122.05,16.2822
123.05,16.244
124.05,16.2175
125.05,16.1197
126.05,16.1533
127.05,16.1826
128.05,16.185
129.05,16.0785
130.05,16.0676
131.05,16.0063
132.05,16.0487
133.05,16.0891
134.05,16.1522
135.05,16.149
136.05,16.0869
137.05,16.1365
138.05,16.1292
139.05,16.0496
140.05,15.9826
141.05,16.0012
142.05,16.0611
143.05,16.0426
144.05,15.939
145.05,15.9583
146.05,15.9639
147.05,15.918
148.05,15.9531
149.05,15.9234
150.05,15.9368
151.05,15.9328
152.05,15.903
153.05,15.8427
154.05,15.806
155.05,15.855
156.05,15.8241
157.05,15.8833
158.05,15.7658
159.05,15.7993
160.05,15.7659
161.05,15.8095
162.05,15.7648
163.05,15.8143
164.05,15.7587
165.05,15.7481
166.05,15.7522
167.05,15.7076
168.05,15.7086
169.05,15.7604
170.05,15.7357
171.05,15.6744
172.05,15.6518
173.05,15.7126
174.05,15.7545
175.05,15.7396
176.05,15.7596
177.05,15.7686
178.05,15.7359
179.05,15.7478
180.05,15.6168
181.05,15.5706
182.05,15.5756
183.05,15.5908
184.05,15.5896
185.05,15.6084
186.05,15.5973
187.05,15.5301
188.05,15.5366
189.05,15.5439
190.05,15.5941
191.05,15.567
192.05,15.4994
193.05,15.4513
194.05,15.4554
195.05,15.4668
196.05,15.3738
197.05,15.3882
198.05,15.4076
199.05,15.4209
200.05,15.396
201.05,15.4101
202.05,15.4004
203.05,15.4511
204.05,15.4698
205.05,15.474
206.05,15.4564
207.05,15.4404
208.05,15.4528
209.05,15.4339
210.05,15.3416
211.05,15.3252
212.05,15.3469
213.05,15.2652
214.05,15.2766
215.05,15.2495
216.05,15.2935
217.05,15.3848
218.05,15.4097
219.05,15.3717
220.05,15.3914
221.05,15.3825
222.05,15.3545
223.05,15.3378
224.05,15.2808
225.05,15.2181
226.05,15.2263
227.05,15.2235
228.05,15.1538
229.05,15.1175
230.05,15.1155
231.05,15.1697
232.05,15.1957
233.05,15.2014
234.05,15.1591
235.05,15.1497
236.05,15.0961
237.05,15.1295
238.05,15.0947
239.05,15.231
240.05,15.24
241.05,15.2285
242.05,15.1617
243.05,15.154
244.05,15.0881
245.05,15.1404
246.05,15.2376
247.05,15.1788
248.05,15.1665
249.05,15.0249
250.05,15.007
251.05,15.032
252.05,15.066
253.05,15.0024
254.05,15.0617
255.05,15.0404
256.05,14.9827
257.05,14.9537
258.05,14.9819
259.05,15.0671
260.05,15.0887
261.05,15.0144
262.05,14.9473
263.05,14.924
264.05,14.9193
265.05,14.9501
266.05,14.9213
267.05,14.924
268.05,14.9507
269.05,14.9404
270.05,14.888
271.05,14.8963
272.05,14.8117
273.05,14.8767
274.05,14.8647
275.05,14.8136
276.05,14.8285
277.05,14.8965
278.05,14.8624
279.05,14.8505
280.05,14.855
281.05,14.8703
282.05,14.8226
283.05,14.8648
284.05,14.8095
285.05,14.8405
286.05,14.8039
287.05,14.7374
288.05,14.7034
289.05,14.6405
290.05,14.6125
291.05,14.6732
292.05,14.7089
293.05,14.6715
294.05,14.6678
295.05,14.6771
296.05,14.6796
297.05,14.6951
298.05,14.7007
299.05,14.6883
300.05,14.6326
301.05,14.5864
302.05,14.616
303.05,14.6494
304.05,14.6535
305.05,14.6204
306.05,14.6286
307.05,14.6794
308.05,14.6274
309.05,14.6703
310.05,14.6933
311.05,14.712
312.05,14.6872
313.05,14.6703
314.05,14.6442
315.05,14.6246
316.05,14.6052
317.05,14.6134
318.05,14.545
319.05,14.4867
320.05,14.5186
321.05,14.4527
322.05,14.5175
323.05,14.5232
324.05,14.5104
325.05,14.4909
326.05,14.4005
327.05,14.4285
328.05,14.4452
329.05,14.4121
330.05,14.4427
331.05,14.4505
332.05,14.3826
333.05,14.3728
334.05,14.4281
335.05,14.4158
336.05,14.5013
337.05,14.5525
338.05,14.507
339.05,14.476
340.05,14.4547
341.05,14.428
342.05,14.4181
343.05,14.4177
344.05,14.4554
345.05,14.4034
346.05,14.3635
347.05,14.3508
348.05,14.3503
349.05,14.3477
350.05,14.3467
351.05,14.2776
352.05,14.3185
353.05,14.28
354.05,14.2632
355.05,14.3023
356.05,14.2792
357.05,14.3065
358.05,14.331
359.05,14.2827
360.05,14.2738
361.05,14.2797
362.05,14.2452
363.05,14.2624
364.05,14.2976
365.05,14.2462
366.05,14.2387
367.05,14.2199
368.05,14.2169
369.05,14.2568
370.05,14.2476
371.05,14.2163
372.05,14.1985
373.05,14.231
374.05,14.2318
375.05,14.2358
376.05,14.2375
377.05,14.1975
