t (s),V (mV)
0,20.7992
1.05,20.7308
2.1,20.6073
3.151,20.545
4.188,20.5108
5.188,20.4732
6.188,20.4684
7.188,20.3883
8.188,20.3514
9.188,20.2977
10.188,20.1868
11.188,20.1966
12.188,20.2072
13.188,20.1261
14.188,20.0413
15.188,20.0736
16.188,19.9604
17.188,19.9452
18.188,19.9078
19.188,19.7921
20.188,19.7304
21.188,19.867
22.188,19.8122
23.188,19.7808
24.188,19.6995
25.188,19.7024
26.188,19.6888
27.188,19.5952
28.188,19.5896
29.188,19.5874
30.188,19.5401
31.188,19.4504
32.188,19.4142
33.188,19.3699
34.188,19.3588
35.188,19.34
36.188,19.2938
37.188,19.1917
38.188,19.1536
39.188,19.1104
40.188,19.0885
41.188,19.0768
42.188,19.0101
43.188,18.9424
44.188,18.9457
45.188,18.8524
46.188,18.8618
47.188,18.8485
48.188,18.845
49.188,18.7332
50.188,18.6521
51.188,18.586
52.188,18.556
53.188,18.5324
54.188,18.4765
55.188,18.4107
56.188,18.3092
57.188,18.3163
58.188,18.3917
59.188,18.365
60.188,18.2542
61.188,18.1517
62.188,18.1124
63.188,18.0826
64.188,18.0235
65.188,17.9766
66.188,17.9635
67.188,17.9206
68.188,17.9038
69.188,17.8228
70.188,17.736
71.188,17.7274
72.188,17.7829
73.188,17.7168
74.188,17.6267
75.188,17.5687
76.188,17.5212
77.188,17.4867
78.188,17.5402
79.188,17.5135
80.188,17.5445
81.188,17.5009
82.188,17.5288
83.188,17.5422
84.188,17.4024
85.188,17.4183
86.188,17.2666
87.188,17.2595
88.188,17.3349
89.188,17.2047
90.188,17.2053
91.188,17.1132
92.188,17.0446
93.188,17.0747
94.188,17.058
95.188,17.0822
96.188,17.0565
97.188,17.0867
98.188,16.8884
99.188,16.8889
100.188,16.7499
101.188,16.7069
102.188,16.6803
103.188,16.6841
104.188,16.7246
105.188,16.7178
106.188,16.6423
107.188,16.6985
108.188,16.6585
109.188,16.7392
110.188,16.6532
111.188,16.5044
112.188,16.5665
113.188,16.4576
114.188,16.4433
115.188,16.4491
116.188,16.5003
117.188,16.3095
118.188,16.2971
119.188,16.1699
120.188,16.2373
121.188,16.1548
122.188,16.1072
123.188,16.0681
124.188,16.0312
125.188,15.9654
126.188,15.8871
127.188,15.8727
128.188,15.9571
129.188,15.962
130.188,15.8801
131.188,15.7983
132.188,15.7188
133.188,15.6863
134.188,15.6943
135.188,15.6538
136.188,15.6732
137.188,15.529
138.188,15.5101
139.188,15.4621
140.188,15.5532
141.188,15.4914
142.188,15.5195
143.188,15.5388
144.188,15.5302
145.188,15.4819
146.188,15.3071
147.188,15.3243
148.188,15.3558
149.188,15.2738
150.188,15.2602
151.188,15.3188
152.188,15.1605
153.188,15.082
154.188,15.1552
155.188,15.0819
