t (s),V (mV)
156.188,15.0269
157.188,15.0247
158.188,14.968
159.188,14.9211
160.188,14.8589
161.188,14.8474
162.188,14.9432
163.188,14.8734
164.188,14.838
165.188,14.8683
166.188,14.8309
167.188,14.8124
168.188,14.7583
169.188,14.6779
170.188,14.6431
171.188,14.7199
172.188,14.6398
173.188,14.6453
174.188,14.5459
175.188,14.436
176.188,14.3687
177.188,14.3884
178.191,14.4921
179.188,14.4682
180.188,14.4968
181.188,14.3546
182.188,14.3608
183.188,14.2969
184.188,14.2467
185.188,14.2299
186.188,14.1791
187.188,14.1356
188.188,14.0786
189.188,14.1689
190.188,14.1771
191.188,14.0823
192.188,14.0025
193.188,13.9484
194.188,14.0176
195.188,13.9779
196.188,13.8548
197.188,13.824
198.188,13.7373
199.188,13.7547
200.188,13.7743
201.188,13.7472
202.188,13.6369
203.188,13.6552
204.188,13.6047
205.188,13.57
206.188,13.6332
207.188,13.4232
208.188,13.52
209.188,13.3901
210.188,13.2939
211.188,13.2282
212.188,13.1858
213.188,13.2857
214.188,13.2317
215.188,13.2406
216.188,13.2448
217.188,13.2614
218.188,13.2029
219.188,13.1298
220.188,13.0501
221.188,13.0411
222.188,12.9476
223.188,12.9144
224.188,12.8937
225.188,12.8426
226.188,12.9617
227.188,13.0129
228.188,12.8836
229.188,12.7546
230.188,12.792
231.188,12.7217
232.188,12.644
233.188,12.6994
234.188,12.7162
235.188,12.7011
236.188,12.7596
237.188,12.5743
238.188,12.5293
239.188,12.576
240.188,12.5381
241.188,12.5023
242.188,12.4356
243.188,12.4252
244.188,12.4704
245.188,12.4492
246.188,12.3928
247.188,12.2899
248.188,12.3045
249.188,12.3187
250.188,12.2572
251.188,12.2727
252.188,12.1862
253.188,12.1694
254.188,12.1281
255.188,12.128
256.188,12.1232
257.188,12.2036
258.188,12.094
259.188,12.0244
260.188,11.9977
261.188,11.9397
262.188,11.9227
263.188,11.9041
264.188,11.9308
265.188,11.9013
266.188,11.9045
267.188,11.8518
268.188,11.8157
269.188,11.7795
270.188,11.8222
271.188,11.8543
272.188,11.8322
273.188,11.7942
274.188,11.7997
275.188,11.7547
276.188,11.7353
277.188,11.7116
278.188,11.8204
279.188,11.7577
280.188,11.6482
281.188,11.6123
282.188,11.648
283.188,11.626
284.188,11.6488
285.188,11.5128
286.188,11.4586
287.188,11.4329
288.188,11.4042
289.188,11.3471
290.188,11.3286
291.188,11.3241
292.188,11.3357
293.188,11.2763
294.188,11.2173
295.188,11.1871
296.188,11.1411
297.188,11.1547
298.188,11.0979
299.188,11.0923
300.188,11.0881
301.188,10.9365
302.188,10.9811
303.188,11.0285
304.188,10.9683
305.188,10.8967
306.188,10.9012
307.188,10.874
308.188,10.8459
309.188,10.874
310.188,10.8686
311.188,10.926
312.188,10.9233
313.188,10.7648
314.188,10.8003
315.188,10.7049
316.188,10.641
317.187,10.5574
318.188,10.6012
319.187,10.5943
320.189,10.641
321.187,10.5135
322.187,10.4535
323.187,10.4418
324.187,10.4296
325.187,10.4962
326.187,10.4391
327.187,10.2794
328.187,10.3123
329.187,10.2535
330.188,10.3384
331.187,10.3253
332.187,10.2047
333.187,10.1845
334.187,10.1617
335.187,10.1856
336.187,10.2397
337.187,10.1579
338.187,10.1471
339.187,10.1553
340.187,10.1496
341.187,10.1187
342.187,10.1683
343.187,10.1543
344.187,10.0436
345.187,10.0318
346.187,10.0095
347.187,10.0987
348.188,10.0845
349.187,10.0648
350.188,9.9574
351.189,9.9001
352.188,9.8751
353.188,9.8629
354.188,9.8268
355.188,9.8398
