t (s),V (mV)
0,18.9959
1.04,19.01
2.04,18.8672
3.039,18.8583
4.039,18.8536
5.039,18.8485
6.039,18.8006
7.039,18.767
8.039,18.7248
9.039,18.7143
10.039,18.6887
11.039,18.714
12.039,18.6319
13.039,18.5199
14.039,18.451
15.039,18.4975
16.039,18.5941
17.039,18.5811
18.039,18.5807
19.039,18.4221
20.039,18.4159
21.039,18.3666
22.039,18.3247
23.039,18.2956
24.039,18.3105
25.039,18.3177
26.039,18.3264
27.039,18.3333
28.039,18.3212
29.039,18.2772
30.039,18.2415
31.039,18.2397
32.039,18.1617
33.039,18.1004
34.039,18.095
35.039,18.0471
36.039,18.0069
37.039,17.9806
38.039,17.9709
39.039,18.0235
40.039,17.9895
41.039,17.9851
42.039,17.978
43.039,17.9201
44.039,17.9077
45.039,17.8441
46.039,17.9042
47.039,17.8837
48.039,17.891
49.039,17.7559
50.039,17.6688
51.039,17.6759
52.039,17.6637
53.039,17.6253
54.039,17.5682
55.039,17.5621
56.039,17.5277
57.039,17.5114
58.039,17.5131
59.039,17.4996
60.039,17.481
61.039,17.4549
62.039,17.3683
63.039,17.4423
64.039,17.4227
65.039,17.3444
66.039,17.3001
67.039,17.3598
68.039,17.3894
69.039,17.4128
70.039,17.3094
71.039,17.3018
72.039,17.3001
73.039,17.2256
74.039,17.1649
75.039,17.03
76.039,17.0748
77.039,17.0426
78.039,17.0087
79.039,16.9962
80.039,16.9952
81.039,17.0091
82.039,16.9901
83.039,16.9835
84.039,16.9424
85.039,16.9605
86.039,16.8699
87.039,16.8221
88.039,16.7794
89.039,16.7975
90.039,16.7763
91.039,16.8091
92.039,16.8027
93.039,16.7574
94.039,16.7533
95.039,16.7313
96.039,16.6632
97.039,16.6305
98.039,16.6572
99.039,16.5727
100.039,16.6365
101.039,16.6913
102.039,16.6326
103.039,16.5254
104.039,16.5493
105.039,16.6164
106.039,16.4779
107.039,16.4094
108.039,16.4585
109.039,16.4407
110.039,16.4732
111.039,16.3268
112.039,16.4145
113.039,16.3935
